firstname,gender,probability
Abramo,,
Adriano,,
Alan,,
Alberto,,
Albino,,
Alessandro,,
Alessio,,
Alighieri,,
Alighiero,,
Amedeo,,
Amerigo,,
Anastasio,,
Anselmo,,
Antimo,,
Antonino,,
Antonio,,
Arcibaldo,,
Arduino,,
Armando,,
Aroldo,,
Artemide,,
Arturo,,
Assia,,
Audenico,,
Augusto,,
Ausonio,,
Avide,,
Azue,,
Bacchisio,,
Baldassarre,,
Battista,,
Benedetta,,
Bernardo,,
Bettino,,
Bibiana,,
Bortolo,,
Brigitta,,
Caio,,
Caligola,,
Carlo,,
Carmela,,
Carmelo,,
Cassiopea,,
Cecco,,
Celeste,,
Cesidia,,
Cira,,
Cirino,,
Ciro,,
Claudia,,
Clea,,
Cleopatra,,
Clodovea,,
Concetta,,
Cosetta,,
Costantino,,
Costanzo,,
Cristyn,,
Damiana,,
Damiano,,
Dante,,
Danuta,,
Davide,,
Deborah,,
Demi,,
Diamante,,
Diana,,
Dindo,,
Domiziano,,
Donatella,,
Doriana,,
Edilio,,
Edipo,,
Egidio,,
Egisto,,
Elda,,
Elga,,
Elio,,
Eliziario,,
Elsa,,
Emanuel,,
Emidio,,
Emilia,,
Enrica,,
Enrico,,
Enzo,,
Ercole,,
Eriberto,,
Erminia,,
Erminio,,
Ettore,,
Eufemia,,
Eusebio,,
Eustachio,,
Evangelista,,
Evita,,
Fabiano,,
Fabio,,
Fatima,,
Felicia,,
Ferdinando,,
Fernando,,
Filomena,,
Fiorentino,,
Fiorenzo,,
Flaviana,,
Flavio,,
Folco,,
Fortunata,,
Fulvio,,
Furio,,
Gabriele,,
Gaetano,,
Gastone,,
Gavino,,
Gelsomina,,
Genziana,,
Gerlando,,
Germano,,
Giacinta,,
Giacinto,,
Giacobbe,,
Gianantonio,,
Giancarlo,,
Gianleonardo,,
Gianmarco,,
Gianmaria,,
Gianriccardo,,
Gilda,,
Gioacchino,,
Giobbe,,
Giordano,,
Giorgio,,
Giovanna,,
Giuliano,,
Giulietta,,
Giulio,,
Grazia,,
Graziano,,
Gregorio,,
Guendalina,,
Guido,,
Iacopo,,
Ilario,,
Ileana,,
Ione,,
Ippolito,,
Irene,,
Isabel,,
Isira,,
Italo,,
Ivano,,
Ivonne,,
Jacopo,,
Jole,,
Laerte,,
Lamberto,,
Laura,,
Lauro,,
Lazzaro,,
Leonardo,,
Leone,,
Lia,,
Liborio,,
Lidia,,
Lino,,
Lisa,,
Loredana,,
Lorenzo,,
Loretta,,
Loris,,
Luce,,
Lucia,,
Lucrezia,,
Ludovico,,
Luigi,,
Luna,,
Maggiore,,
Manfredi,,
Manuele,,
Marcella,,
Marco,,
Maria,,
Mariagiulia,,
Marianita,,
Mariano,,
Mariapia,,
Marieva,,
Marina,,
Marino,,
Maristella,,
Marzio,,
Matilde,,
Matteo,,
Mattia,,
Mauro,,
Max,,
Mecren,,
Michele,,
Mietta,,
Mirco,,
Miriam,,
Miriana,,
Mirko,,
Modesto,,
Monia,,
Moreno,,
Morgana,,
Muzio,,
Naomi,,
Nazzareno,,
Neri,,
Nestore,,
Nico,,
Nicoletta,,
Ninfa,,
Noemi,,
Nunzia,,
Odino,,
Odone,,
Olimpia,,
Olo,,
Omar,,
Oreste,,
Oretta,,
Orfeo,,
Ortensia,,
Osea,,
Osvaldo,,
Pacifico,,
Patrizio,,
Penelope,,
Pericle,,
Piccarda,,
Piererminio,,
Pierfrancesco,,
Piersilvio,,
Pietro,,
Priamo,,
Primo,,
Prisca,,
Quarto,,
Quasimodo,,
Quirino,,
Radio,,
Raniero,,
Raoul,,
Rebecca,,
Renato,,
Renzo,,
Rita,,
Rocco,,
Rodolfo,,
Romeo,,
Romolo,,
Rosalba,,
Rosalino,,
Rosaria,,
Rosita,,
Rosolino,,
Rufo,,
Sabatino,,
Sabino,,
Samira,,
Samuel,,
Sandro,,
Santo,,
Sarita,,
Secondo,,
Selvaggia,,
Serse,,
Sesto,,
Sibilla,,
Silvano,,
Silverio,,
Sirio,,
Siro,,
Soriana,,
Tancredi,,
Tazio,,
Terzo,,
Teseo,,
Thea,,
Timoteo,,
Tolomeo,,
Tommaso,,
Tosca,,
Tristano,,
Ubaldo,,
Ulrico,,
Umberto,,
Ursula,,
Valdo,,
Vania,,
Vera,,
Vienna,,
Vinicio,,
Violante,,
Vitalba,,
Walter,,
Zaccaria,,
Zelida,,
