firstname,gender,probability
Aba,,
Abbás,,
Abdiás,,
Abdon,,
Abdullah,,
Abelárd,,
Abigél,,
Abony,,
Abos,,
Abosa,,
Absa,,
Absolon,,
Abád,,
Abélia,,
Achilles,,
Achillesz,,
Acsád,,
Acél,,
Ada,,
Adala,,
Adalbert,,
Adalberta,,
Adalbertina,,
Adalind,,
Adaora,,
Adeboró,,
Adela,,
Adelaida,,
Adelgund,,
Adelgunda,,
Adelheid,,
Adelin,,
Adelina,,
Adelinda,,
Adelmár,,
Adeodát,,
Adina,,
Admira,,
Adolf,,
Adolfina,,
Adolár,,
Adonika,,
Adonisz,,
Adony,,
Adorján,,
Adrienn,,
Adrienna,,
Adriána,,
Adriánó,,
Adél,,
Adéla,,
Adélia,,
Adóra,,
Afrodita,,
Afrodité,,
Agamemnon,,
Agapion,,
Agaton,,
Agenor,,
Aglája,,
Agmánd,,
Agnabella,,
Agnéta,,
Agád,,
Agáta,,
Ahillész,,
Ahmed,,
Aida,,
Aina,,
Ainó,,
Aira,,
Airton,,
Aisa,,
Aisah,,
Ajna,,
Ajnácska,,
Ajra,,
Ajsa,,
Ajtonka,,
Ajtony,,
Ajád,,
Ajándok,,
Ajándék,,
Akaiéna,,
Akilina,,
Akitó,,
Akács,,
Aladdin,,
Aladár,,
Alajos,,
Alamea,,
Alana,,
Alarik,,
Alba,,
Albert,,
Albertin,,
Albertina,,
Albina,,
Alda,,
Aldea,,
Aldán,,
Aldó,,
Alek,,
Alekszej,,
Alen,,
Alesszia,,
Aleszja,,
Alett,,
Aletta,,
Alex,,
Alexander,,
Alexandrina,,
Alexia,,
Alfonz,,
Alfonzin,,
Alfonzina,,
Alfréd,,
Algernon,,
Ali,,
Alia,,
Alica,,
Alicia,,
Alida,,
Alinka,,
Alirán,,
Alisa,,
Alissza,,
Alitta,,
Aliz,,
Aliza,,
Alizé,,
Allegra,,
Alma,,
Almanda,,
Almira,,
Almiréna,,
Almár,,
Alojzia,,
Aloé,,
Alperen,,
Alpár,,
Alvin,,
Alvina,,
Alvián,,
Alán,,
Alárd,,
Aléna,,
Alícia,,
Alíz,,
Alízia,,
Alóma,,
Ama,,
Amadea,,
Amadeusz,,
Amadil,,
Amadé,,
Amadó,,
Amaja,,
Amand,,
Amandina,,
Amar,,
Amarant,,
Amaranta,,
Amarill,,
Amarilla,,
Amarillisz,,
Amator,,
Ambos,,
Ambrus,,
Ambró,,
Ambrózia,,
Amelda,,
Ameli,,
Ametiszt,,
Amidala,,
Amilla,,
Amin,,
Amina,,
Amira,,
Ammar,,
Ammon,,
Amondó,,
Amábel,,
Amália,,
Amázia,,
Amélia,,
Anabell,,
Anabella,,
Anaisz,,
Anakin,,
Anaszta,,
Anasztáz,,
Anasztázia,,
Anatol,,
Anatólia,,
Ancilla,,
Anda,,
Andelina,,
Andi,,
Andon,,
Andor,,
Andorás,,
Andrea,,
Andreina,,
Andrej,,
Androméda,,
András,,
André,,
Andzseló,,
Anelma,,
Anett,,
Anetta,,
Angelika,,
Angelina,,
Angella,,
Angelus,,
Angelusz,,
Angyal,,
Angéla,,
Angélia,,
Ani,,
Ania,,
Anica,,
Anicét,,
Anicéta,,
Aniella,,
Anika,,
Anikó,,
Anilla,,
Anissza,,
Anita,,
Anitra,,
Anka,,
Ankisza,,
Anna,,
Annabel,,
Annabella,,
Annabori,,
Annakarina,,
Annakata,,
Annaleila,,
Annalilla,,
Annaliza,,
Annalujza,,
Annaléna,,
Annamari,,
Annamira,,
Annamária,,
Annamíra,,
Annaregina,,
Annarita,,
Annaréka,,
Annaróza,,
Annasára,,
Annavera,,
Annavirág,,
Anni,,
