firstname,gender,probability
Aaron,,
Aaró,,
Abacuc,,
Abba,,
Abel,,
Abelard,,
Abellera,,
Abraham,,
Abril,,
Acfred,,
Ada,,
Adaleda,,
Adaleis,,
Adam,,
Adrià,,
Agnès,,
Aida,,
Aidé,,
Ailo,,
Aina,,
Alamanda,,
Alba,,
Albert,,
Albà,,
Aledis,,
Aleix,,
Aleu,,
Alexandre,,
Alfons,,
Alfred,,
Alfreda,,
Alix,,
Almodis,,
Aloma,,
Alícia,,
Amadeu,,
Amador,,
Amalric,,
Amand,,
Anastasi,,
Anastàsia,,
Anaïs,,
Andreu,,
Aniol,,
Anna,,
Antiga,,
Antoni,,
Antònia,,
Apel·les,,
Arcadi,,
Arcàngela,,
Ardoina,,
Ariadna,,
Arlet,,
Armand,,
Armengol,,
Arnau,,
Arsenda,,
Arsendis,,
Artal,,
Artur,,
Assumpció,,
August,,
Aura,,
Aurembiaix,,
Aurora,,
Bartolomeu,,
Bartolí,,
Bartomeva,,
Beatriu,,
Benet,,
Benvinguda,,
Bert,,
Betlem,,
Bibianna,,
Biel,,
Blai,,
Blanc,,
Blanca,,
Blau,,
Boi,,
Bonaventura,,
Bondia,,
Borja,,
Borrell,,
Borràs,,
Bru,,
Bruguers,,
Brugués,,
Bruna,,
Brunisenda,,
Bàrbara,,
Candela,,
Carbó,,
Carla,,
Carles,,
Carlota,,
Carme,,
Carolina,,
Casilda,,
Castelló,,
Caterina,,
Cesc,,
Chaymae,,
Cinta,,
Cior,,
Cira,,
Cixilona,,
Clotilde,,
Constantí,,
Constança,,
Cristina,,
Cristià,,
Cugat,,
Cèlia,,
Cèsar,,
Dalila,,
Damià,,
Daniel,,
David,,
Dolors,,
Dolça,,
Domènec,,
Donat,,
Drac,,
Duna,,
Dídac,,
Eduard,,
Egidi,,
Elena,,
Elionor,,
Elisabet,,
Elisenda,,
Elm,,
Eloi,,
Elvira,,
Emma,,
Enric,,
Enriqueta,,
Ermengol,,
Ernest,,
Escarlata,,
Esclarmunda,,
Estanislau,,
Estel,,
Estel·la,,
Ester,,
Eudald,,
Eugènia,,
Eulàlia,,
Fe,,
Feliu,,
Ferrera,,
Ferriol,,
Foix,,
Fortià,,
