lastname,gender,probability
Adell,,
Albert,,
Alemany,,
Amengual,,
Armengol,,
Armengou,,
Aubert,,
Balasch,,
Batallé,,
Bonastre,,
Bosch,,
Cabot,,
Calafell,,
Camprubí,,
Canudas,,
Cardona,,
Casajoana,,
Casajuana,,
Codina,,
Codinas,,
Codines,,
Coma,,
Comas,,
Comes,,
Danès,,
Danés,,
Estruch,,
Fabré,,
Farré,,
Farrés,,
Febrer,,
Ferrer,,
Ferré,,
Ferrés,,
Fortuny,,
Garau,,
Gasch,,
Gassull,,
Gasull,,
Gol,,
Grau,,
Gual,,
Guarch,,
Guasch,,
Guasp,,
Jordà,,
Llach,,
Llobet,,
Magrans,,
Maimó,,
Mas,,
Masot,,
Massot,,
Maymó,,
Melis,,
Mengual,,
Miquel,,
Molas,,
Moragas,,
Moragues,,
Nadal,,
Nàcher,,
Oriol,,
Pitarch,,
Pitart,,
Pons,,
Prat,,
Raga,,
Reixach,,
Reixachs,,
Rexach,,
Rexachs,,
Ricart,,
Riera,,
Robert,,
Roig,,
Roma,,
Ros,,
Rubert,,
Sabater,,
Sabaters,,
Sabaté,,
Sabatés,,
Sala,,
Salom,,
Santacana,,
Sentmartí,,
Serra,,
Soler,,
Solé,,
Sulé,,
Taberner,,
Taberné,,
Taverner,,
Taverné,,
Thió,,
Tió,,
Vidal,,
Vives,,
de Nadal,,
