gender,firstname,probability
Female,Marie,0.026725461430882547
Male,Jean,0.022935424489654122
Male,Pierre,0.010662117582021244
Male,Michel,0.009816075052190015
Male,AndrÉ,0.008519577312130816
Female,Jeanne,0.006653386921890633
Male,Philippe,0.006442615240849637
Male,Louis,0.0061941241287837585
Male,RenÉ,0.006178914294763257
Male,Alain,0.006065564532495595
Male,Jacques,0.005776015245351556
Male,Bernard,0.005615970933636215
Male,Marcel,0.005597829227597599
Male,Daniel,0.005203749727889368
Male,Roger,0.005069996529740545
Male,Robert,0.005015834681765098
Male,Paul,0.00498101122228464
Male,Claude,0.00492748361601107
Male,Christian,0.004851434445908559
Male,Henri,0.004848299137872861
Male,Georges,0.00484114297678375
Male,Nicolas,0.004839575322765901
Female,FranÇoise,0.004804763830110008
Female,Monique,0.0047847792330885765
Male,FranÇois,0.00476785814315546
Male,Patrick,0.004727506010726559
Female,Catherine,0.00472301845151516
Female,Nathalie,0.0045815107510490385
Male,GÉrard,0.004540476509620005
Female,Isabelle,0.004522861343862193
Male,Christophe,0.004498676391418891
Male,Joseph,0.004486673666381469
Female,Jacqueline,0.004458240491218044
Female,Sylvie,0.0043637743781119506
Female,Anne,0.00436297260086618
Male,Julien,0.004118550209151971
Male,Maurice,0.0040342917973987405
Male,Laurent,0.003930288125115353
Male,FrÉdÉric,0.003922952461657785
Female,Martine,0.0038316934575347715
Male,Eric,0.0038059169174244948
Male,David,0.0037404344534117577
Male,StÉphane,0.0036900541219984494
Male,Pascal,0.00368354416943578
Female,Madeleine,0.003644771657849291
Male,SÉbastien,0.003635832439900184
Male,Alexandre,0.0035894131274174707
Female,Nicole,0.0035116168009286545
Male,Thierry,0.003464706848638828
Female,Suzanne,0.0034567369434793833
Female,HÉlÈne,0.0033622708303732893
Female,Christine,0.0033577234370390716
Male,Olivier,0.003349789432353318
Male,Thomas,0.0033195851671544603
Male,Antoine,0.0033047104042217426
Male,Raymond,0.003264729243354317
Female,Marguerite,0.0032434282956308753
Male,Guy,0.003180063959565919
Female,Louise,0.003157853533175634
Female,Denise,0.003151654718051621
Female,Christiane,0.0031061209505866237
Female,Yvonne,0.0030753781782823985
Female,ValÉrie,0.0030285998610627735
Female,Sophie,0.002934516686342719
Male,Dominique,0.0028947150278437494
