Gender,Name,Probability
Male,Jack,1.602612790521039
Male,Oliver,1.2532280115448884
Male,James,1.2266443870575725
Male,Logan,1.1658818168008507
Male,Leo,1.139298192313535
Male,Lewis,1.1317028710314445
Male,Alexander,1.1165122284672642
Male,Harris,1.1165122284672642
Male,Noah,1.0785356220568132
Male,Rory,1.0633449794926326
Male,Charlie,0.9949870879538204
Male,Harry,0.9949870879538204
Male,Lucas,0.9911894273127754
Male,Jacob,0.9532128209023242
Male,Thomas,0.9532128209023242
Male,Alfie,0.9456174996202339
Male,Archie,0.9228315357739633
Male,Max,0.8316876803888805
Male,Finlay,0.8278900197478354
Male,Finn,0.7899134133373842
Male,Adam,0.7633297888500683
Male,Daniel,0.7633297888500683
Male,Ethan,0.7443414856448427
Male,Mason,0.7329485037217074
Male,Brodie,0.7291508430806624
Male,Joshua,0.6949718973112562
Male,Theo,0.6721859334649856
Male,Cameron,0.6645906121828953
Male,Oscar,0.6607929515418502
Male,Hunter,0.6114233632082637
Male,Aaron,0.5962327206440832
Male,Callum,0.5924350600030381
Male,William,0.5810420780799028
Male,Liam,0.5734467567978125
Male,Matthew,0.5734467567978125
Male,Jaxon,0.5696490961567675
Male,Harrison,0.5544584535925869
Male,Freddie,0.5506607929515419
Male,Ollie,0.5506607929515419
Male,Jamie,0.5468631323104967
Male,Caleb,0.524077168464226
Male,Nathan,0.5126841865410907
Male,Luke,0.5088865259000456
Male,Muhammad,0.5050888652590004
Male,Jude,0.4747075801306395
Male,Arthur,0.4671122588485493
Male,Arran,0.4481239556433237
Male,Luca,0.4443262950022786
Male,Angus,0.4405286343612335
Male,Carter,0.4291356524380981
Male,Connor,0.4291356524380981
Male,Dylan,0.4291356524380981
Male,George,0.4177426705149628
Male,Blake,0.4139450098739177
Male,Robert,0.4139450098739177
Male,Arlo,0.4063496885918274
Male,Samuel,0.4063496885918274
Male,Hamish,0.4025520279507823
Male,Jackson,0.3987543673097372
Male,Cole,0.3949567066686921
Male,Ryan,0.3949567066686921
Male,Andrew,0.391159046027647
Male,David,0.38736138538660186
Male,Fraser,0.37976606410451164
Male,Joseph,0.37976606410451164
Male,Kai,0.37976606410451164
Male,Isaac,0.3759684034634665
Male,Michael,0.36837308218137627
Male,Reuben,0.3645754215403312
Male,Leon,0.36077776089928604
Male,Aidan,0.3569801002582409
Male,Benjamin,0.3569801002582409
Male,Blair,0.3531824396171958
Male,Riley,0.3455871183351056
Male,Ben,0.33419413641197027
Male,John,0.32280115448883484
Male,Josh,0.3114081725656995
Male,Murray,0.3114081725656995
Male,Sam,0.3038128512836093
Male,Grayson,0.28482454807838375
Male,Cooper,0.2810268874373386
Male,Callan,0.27343156615524833
Male,Elijah,0.27343156615524833
Male,Jake,0.27343156615524833
Male,Alex,0.26583624487315816
Male,Innes,0.26583624487315816
Male,Louis,0.26583624487315816
Male,Ruaridh,0.26583624487315816
Male,Owen,0.2582409235910679
Male,Tommy,0.2582409235910679
Male,Tyler,0.2582409235910679
Male,Henry,0.2544432629500228
Male,Elliot,0.24684794166793256
Male,Lyle,0.24684794166793256
Male,Jayden,0.24305028102688744
Male,Kayden,0.24305028102688744
Male,Aiden,0.23545495974479722
Male,Frankie,0.23545495974479722
Male,Gabriel,0.23545495974479722
Male,Jax,0.2316572991037521
Male,Carson,0.22785963846270696
Male,Robbie,0.22785963846270696
Male,Sebastian,0.22406197782166185
Male,Euan,0.22026431718061676
Male,Sonny,0.22026431718061676
Male,Calvin,0.21646665653957164
Male,Ross,0.21646665653957164
Male,Zac,0.21646665653957164
Male,Austin,0.2126689958985265
Male,Kyle,0.2126689958985265
Male,Louie,0.2126689958985265
Male,Cody,0.2088713352574814
Male,Brody,0.20507367461643625
Male,Ellis,0.20507367461643625
Male,Struan,0.20507367461643625
Male,Calum,0.20127601397539116
Male,Teddy,0.19747835333434605
Male,Lochlan,0.19368069269330093
Male,Conor,0.18988303205225582
Male,Parker,0.18988303205225582
Male,Lachlan,0.18608537141121068
Male,Mohammed,0.18608537141121068
Male,Patrick,0.18608537141121068
Male,Rhys,0.18608537141121068
Male,Ruairidh,0.18608537141121068
Male,Evan,0.1822877107701656
Male,Kian,0.1822877107701656
Male,Magnus,0.1822877107701656
Male,Roman,0.1822877107701656
Male,Hugo,0.17849005012912045
Male,Scott,0.17849005012912045
Male,Theodore,0.17849005012912045
Male,Zachary,0.17849005012912045
Male,Edward,0.17469238948807536
Male,Marcus,0.17469238948807536
Male,Myles,0.17469238948807536
Male,Harvey,0.17089472884703022
Male,Joey,0.17089472884703022
Male,Charles,0.16709706820598513
Male,Corey,0.16709706820598513
Male,Zach,0.16709706820598513
Male,Eli,0.16329940756494
Male,Zack,0.16329940756494
Male,Anthony,0.15950174692389488
Male,Jaxson,0.15950174692389488
Male,Fergus,0.15570408628284976
Male,Kieran,0.15570408628284976
Male,Cillian,0.14810876500075953
Male,Zak,0.14810876500075953
Male,Christopher,0.14431110435971442
Male,Levi,0.14431110435971442
Male,Shay,0.14431110435971442
Male,Miller,0.13671578307762416
Male,Peter,0.13671578307762416
Male,Toby,0.13671578307762416
Male,Dominic,0.13291812243657908
Male,Rowan,0.13291812243657908
Male,Sean,0.13291812243657908
Male,Finley,0.12912046179553394
Male,Gregor,0.12912046179553394
Male,Harley,0.12912046179553394
Male,Alan,0.12532280115448885
Male,Bradley,0.12532280115448885
Male,Cian,0.12532280115448885
Male,Ezra,0.12532280115448885
Male,Flynn,0.12532280115448885
Male,Ruben,0.12532280115448885
Male,Felix,0.12152514051344372
Male,Jay,0.12152514051344372
