lastname,gender,probability
Antal,,
Antalová,,
Babka,,
Babková,,
Bahna,,
Bahno,,
Bahnová,,
Baláž,,
Balážová,,
Baran,,
Baranka,,
Baranková,,
Baranová,,
Bartovič,,
Bartovičová,,
Bartoš,,
Bartošová,,
Bača,,
Bačová,,
Bernolák,,
Bernoláková,,
Beňo,,
Beňová,,
Bicek,,
Biceková,,
Bielik,,
Bieliková,,
Blaho,,
Blahová,,
Bondra,,
Bondrová,,
Bosák,,
Bosáková,,
Boška,,
Bošková,,
Brezina,,
Brezinová,,
Bukovská,,
Bukovský,,
Chalupka,,
Chalupková,,
Chudík,,
Chudíková,,
Cibula,,
Cibulka,,
Cibulková,,
Cibulová,,
Cibuľa,,
Cyprich,,
Cyprichová,,
Cíger,,
Cígerová,,
Danko,,
Danková,,
Daňko,,
Daňková,,
Daňo,,
Daňová,,
Debnár,,
Debnárová,,
Dej,,
Dejová,,
Dekýš,,
Dekýšová,,
Doležal,,
Doležalová,,
Dočolomanská,,
Dočolomanský,,
Droppa,,
Droppová,,
Dubovská,,
Dubovský,,
Dudek,,
Dudeková,,
Dula,,
Dulla,,
Dullová,,
Dulová,,
Dusík,,
Dusíková,,
Dvonč,,
Dvončová,,
Dzurjanin,,
Dzurjaninová,,
Dávid,,
Dávidová,,
Fabian,,
Fabianová,,
Fabián,,
Fabiánová,,
Fajnor,,
Fajnorová,,
Farkašovská,,
Farkašovský,,
Fico,,
Ficová,,
Filc,,
Filcová,,
Filip,,
Filipová,,
Finka,,
Finková,,
Ftorek,,
Ftoreková,,
Gašpar,,
Gašparovič,,
Gašparovičová,,
Gašparová,,
Gocník,,
Gocníková,,
Gregor,,
Gregorová,,
Greguš,,
Gregušová,,
Grznár,,
Grznárová,,
Hablák,,
Habláková,,
Habšuda,,
Habšudová,,
Halda,,
Haldová,,
Haluška,,
Halušková,,
Halák,,
Haláková,,
Hanko,,
Hanková,,
Hanzal,,
Hanzalová,,
Haščák,,
Haščáková,,
Heretik,,
Heretiková,,
Hečko,,
Hečková,,
Hlaváček,,
Hlaváčeková,,
Hlinka,,
Hlinková,,
Holub,,
Holubová,,
Holuby,,
Holubyová,,
Hossa,,
Hossová,,
Hoza,,
Hozová,,
Hraško,,
Hrašková,,
Hric,,
Hricová,,
Hrmo,,
Hrmová,,
Hrušovská,,
Hrušovský,,
Huba,,
Hubová,,
Ihnačák,,
Ihnačáková,,
Janeček,,
Janečeková,,
Janoška,,
Janošková,,
Jantošovič,,
Jantošovičová,,
Janík,,
Janíková,,
Janček,,
Jančeková,,
Jedľovská,,
Jedľovský,,
Jendek,,
Jendeková,,
Jonata,,
Jonatová,,
Jurina,,
Jurinová,,
Jurkovič,,
Jurkovičová,,
Jurík,,
Juríková,,
Jánošík,,
Jánošíková,,
Kafenda,,
Kafendová,,
Kaliská,,
Kaliský,,
Karul,,
Karulová,,
Keníž,,
Kenížová,,
Klapka,,
Klapková,,
Kmeť,,
Kmeťová,,
Kolesár,,
Kolesárová,,
Kollár,,
Kollárová,,
Kolnik,,
Kolniková,,
Kolník,,
Kolníková,,
Kolár,,
Kolárová,,
Korec,,
Korecová,,
Kostka,,
Kostkaová,,
Kostrec,,
Kostrecová,,
Kováč,,
Kováčik,,
Kováčiková,,
Kováčová,,
Koza,,
Kozová,,
Kočiš,,
Kočišová,,
Krajíček,,
Krajíčeková,,
Krajči,,
Krajčo,,
Krajčovič,,
Krajčovičová,,
Krajčová,,
Krajčír,,
Krajčírová,,
Králik,,
Králiková,,
Krúpa,,
Krúpová,,
Kubík,,
Kubíková,,
Kyseľ,,
Kyseľová,,
Kállay,,
Kállayová,,
Labuda,,
Labudová,,
Lepšík,,
Lepšíková,,
Lipták,,
Liptáková,,
Lisická,,
Lisický,,
Lubina,,
Lubinová,,
Lukáč,,
Lukáčová,,
Lupták,,
Luptáková,,
Líška,,
Líšková,,
Madej,,
Madejová,,
Majeská,,
Majeský,,
Malachovská,,
Malachovský,,
Malíšek,,
Malíšeková,,
Mamojka,,
Mamojková,,
Marcinko,,
Marcinková,,
Marián,,
Mariánová,,
Masaryk,,
Masaryková,,
Maslo,,
Maslová,,
Matiaško,,
Matiašková,,
Medveď,,
Medveďová,,
Melcer,,
Melcerová,,
Mečiar,,
Mečiarová,,
Michalík,,
Michalíková,,
Mihalik,,
Mihaliková,,
Mihál,,
Mihálik,,
Miháliková,,
Mihálová,,
Mikloško,,
Miklošková,,
Mikulík,,
Mikulíková,,
Mikuš,,
Mikušová,,
Mikúš,,
